# metadata = 1695923608885.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "cluster"]
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
20180103_sample_8,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0056,0056 L5 IT CTX Glut_1,99,1.0000
20180104_sample_1,CS20230722_CLAS_01,01 IT-ET Glut,0.8500,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,0.9600,CS20230722_CLUS_0085,0085 L4/5 IT CTX Glut_3,167,0.9400
20180104_sample_2,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0061,0061 L5 IT CTX Glut_3,192,0.9900
20180104_sample_3,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,1.0000,CS20230722_CLUS_0070,0070 L4/5 IT CTX Glut_1,175,1.0000
20180104_sample_4,CS20230722_CLAS_13,13 CNU-HYa Glut,0.5000,CS20230722_SUBC_114,114 COAa-PAA-MEA Barhl2 Glut,0.5600,CS20230722_CLUS_2027,2027 COAa-PAA-MEA Barhl2 Glut_3,2588,0.8700
20180104_sample_6,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0355,0355 L5 ET CTX Glut_1,402,1.0000
20180105_sample_4,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0061,0061 L5 IT CTX Glut_3,192,1.0000
20180105_sample_5,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,0.9100,CS20230722_CLUS_0070,0070 L4/5 IT CTX Glut_1,175,0.9000
20180105_sample_6,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_004,004 L6 IT CTX Glut,0.9800,CS20230722_CLUS_0054,0054 L6 IT CTX Glut_5,110,1.0000
20180108_sample_1,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0058,0058 L5 IT CTX Glut_2,191,0.9800
20180108_sample_2,CS20230722_CLAS_05,05 OB-IMN GABA,0.3900,CS20230722_SUBC_039,039 OB Meis2 Thsd7b Gaba,0.8100,CS20230722_CLUS_0518,0518 OB Meis2 Thsd7b Gaba_1,1258,0.9600
20180108_sample_3,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0061,0061 L5 IT CTX Glut_3,192,0.8400
